True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Bare Sediment,568,810,952,1162,1147,1145,1195,949,616,1198,488,892,0.11267605633802816,0.4535211267605634,0.6535211267605634,0.9492957746478872,0.928169014084507,0.9253521126760564,0.995774647887324,0.6492957746478873,0.18028169014084508,1,0,0.5690140845070423,0.09933774834437084,-0.17849898580121704
Bare Sediment,582,799,944,1152,1125,1139,1196,920,595,1215,488,892,0.12929848693259974,0.42778541953232463,0.6272352132049519,0.9133425034387896,0.8762035763411279,0.8954607977991746,0.9738651994497936,0.594222833562586,0.14718019257221457,1,0,0.5557083906464925,0.09923664122137404,-0.18093285494618144
Bare Sediment,563,788,948,1136,1125,1139,1196,920,595,1215,488,892,0.1031636863823934,0.4126547455295736,0.6327372764786795,0.8913342503438789,0.8762035763411279,0.8954607977991746,0.9738651994497936,0.594222833562586,0.14718019257221457,1,0,0.5557083906464925,0.09021113243761995,-0.18087318087318088
Bare Sediment,558,780,938,1132,1124,1125,1165,877,554,1191,471,830,0.12083333333333332,0.42916666666666664,0.6486111111111111,0.9180555555555556,0.9069444444444444,0.9083333333333332,0.9638888888888888,0.5638888888888889,0.11527777777777778,1,0,0.4986111111111111,0.09371980676328502,-0.18410041841004185
Bare Sediment,558,780,946,1130,1124,1125,1165,877,554,1191,471,830,0.12083333333333332,0.42916666666666664,0.6597222222222222,0.9152777777777776,0.9069444444444444,0.9083333333333332,0.9638888888888888,0.5638888888888889,0.11527777777777778,1,0,0.4986111111111111,0.08863198458574181,-0.18324607329842932
Bare Sediment,574,758,940,1136,1098,1108,1160,841,530,1169,471,830,0.14756446991404013,0.41117478510028654,0.671919770773639,0.9527220630372492,0.8982808022922636,0.9126074498567336,0.9871060171919772,0.5300859598853869,0.08452722063037249,1,0,0.5143266475644699,0.09441233140655106,-0.19957761351636744
Bare Sediment,580,746,942,1150,1098,1108,1160,841,530,1169,471,830,0.15616045845272206,0.3939828080229226,0.6747851002865329,0.9727793696275072,0.8982808022922636,0.9126074498567336,0.9871060171919772,0.5300859598853869,0.08452722063037249,1,0,0.5143266475644699,0.0994263862332696,-0.21308016877637131
Bare Sediment,548,774,911,1120,1106,1103,1145,781,509,1151,471,830,0.11323529411764706,0.4455882352941177,0.6470588235294118,0.9544117647058824,0.9338235294117648,0.9294117647058824,0.9911764705882352,0.45588235294117646,0.05588235294117647,1,0,0.5279411764705882,0.10290497291974396,-0.18268215417106656
Bare Sediment,538,780,918,1074,1106,1103,1145,781,509,1151,471,830,0.09852941176470588,0.4544117647058823,0.6573529411764706,0.8867647058823529,0.9338235294117648,0.9294117647058824,0.9911764705882352,0.45588235294117646,0.05588235294117647,1,0,0.5279411764705882,0.0783132530120482,-0.15857605177993528
Bare Sediment,551,764,924,1082,1098,1090,1122,703,444,1121,464,806,0.15781710914454278,0.471976401179941,0.7079646017699115,0.9410029498525072,0.9646017699115044,0.952802359882006,1,0.3820058997050147,0,0.9985250737463128,0.02949852507374631,0.5339233038348082,0.07876370887337986,-0.1722643553629469
Bare Sediment,550,768,924,1070,1098,1090,1122,703,444,1121,464,806,0.15634218289085547,0.4778761061946903,0.7079646017699115,0.9233038348082596,0.9646017699115044,0.952802359882006,1,0.3820058997050147,0,0.9985250737463128,0.02949852507374631,0.5339233038348082,0.0732196589769308,-0.16430903155603918
Bare Sediment,547,755,919,1086,1073,1066,1108,629,373,1099,464,806,0.23673469387755103,0.5197278911564626,0.7428571428571429,0.9700680272108844,0.9523809523809524,0.9428571428571428,1,0.34829931972789113,0,0.9877551020408164,0.1238095238095238,0.5891156462585034,0.08329177057356608,-0.17979359043997828
Bare Sediment,535,753,896,1084,1073,1066,1108,629,373,1099,464,806,0.22040816326530613,0.5170068027210885,0.7115646258503401,0.9673469387755104,0.9523809523809524,0.9428571428571428,1,0.34829931972789113,0,0.9877551020408164,0.1238095238095238,0.5891156462585034,0.09494949494949496,-0.1801850843767011
Bare Sediment,536,756,900,1078,1062,1034,1100,548,350,1100,464,806,0.248,0.5413333333333333,0.7333333333333333,0.9706666666666668,0.9493333333333334,0.912,1,0.264,0,1,0.152,0.608,0.08998988877654196,-0.17557251908396945
Bare Sediment,511,732,890,1074,1062,1034,1100,548,350,1100,464,806,0.21466666666666667,0.5093333333333333,0.72,0.9653333333333334,0.9493333333333334,0.912,1,0.264,0,1,0.152,0.608,0.09368635437881874,-0.1893687707641196
Bare Sediment,516,726,903,1068,1055,1008,1071,510,326,1091,454,735,0.24836601307189543,0.5228758169934641,0.7542483660130719,0.9699346405228758,0.9529411764705882,0.8915032679738563,0.9738562091503268,0.24052287581699347,0,1,0.16732026143790849,0.534640522875817,0.0837138508371385,-0.1906354515050167
Bare Sediment,526,714,902,1062,1055,1008,1071,510,326,1091,454,735,0.26143790849673204,0.5071895424836601,0.7529411764705882,0.962091503267974,0.9529411764705882,0.8915032679738563,0.9738562091503268,0.24052287581699347,0,1,0.16732026143790849,0.534640522875817,0.0814663951120163,-0.19594594594594592
Bare Sediment,506,710,892,1052,1037,1016,1057,498,316,1066,454,735,0.25333333333333335,0.5253333333333333,0.768,0.9813333333333332,0.9613333333333334,0.9333333333333332,0.988,0.24266666666666667,0,1,0.184,0.5586666666666666,0.0823045267489712,-0.1940976163450624
Bare Sediment,490,712,896,1040,1037,1016,1057,498,316,1066,454,735,0.232,0.528,0.7733333333333333,0.9653333333333334,0.9613333333333334,0.9333333333333332,0.988,0.24266666666666667,0,1,0.184,0.5586666666666666,0.0743801652892562,-0.1872146118721461
Bare Sediment,494,722,888,1010,1039,993,1056,452,276,1055,454,735,0.2794871794871795,0.5717948717948718,0.7846153846153846,0.941025641025641,0.9782051282051282,0.9192307692307692,1,0.22564102564102564,0,0.9987179487179488,0.2282051282051282,0.5884615384615385,0.0642781875658588,-0.16628175519630484
Bare Sediment,496,726,875,1015,1039,993,1056,452,276,1055,454,735,0.28205128205128205,0.5769230769230769,0.767948717948718,0.9474358974358974,0.9782051282051282,0.9192307692307692,1,0.22564102564102564,0,0.9987179487179488,0.2282051282051282,0.5884615384615385,0.07407407407407407,-0.16599655370476735
Bare Sediment,514,716,882,1036,1031,994,1045,412,235,1032,447,691,0.34444444444444444,0.5938271604938271,0.7987654320987654,0.9888888888888888,0.982716049382716,0.937037037037037,1,0.21851851851851853,0,0.9839506172839506,0.2617283950617284,0.562962962962963,0.08029197080291971,-0.182648401826484
Bare Sediment,492,714,894,1002,1031,994,1045,412,235,1032,447,691,0.3172839506172839,0.591358024691358,0.8135802469135802,0.9469135802469136,0.982716049382716,0.937037037037037,1,0.21851851851851853,0,0.9839506172839506,0.2617283950617284,0.562962962962963,0.05696202531645569,-0.16783216783216784
Bare Sediment,489,712,875,1058,1007,995,1045,434,247,1036,447,691,0.29839704069050554,0.5733662145499383,0.7743526510480888,1,0.93711467324291,0.9223181257706536,0.9839704069050554,0.23057953144266335,0,0.9728729963008632,0.2466091245376079,0.5474722564734895,0.09467149508535956,-0.19548022598870057
Bare Sediment,494,722,892,1024,1007,995,1045,434,247,1036,447,691,0.30952380952380953,0.5952380952380952,0.8082706766917294,0.9736842105263158,0.9523809523809524,0.93734335839599,1,0.23433583959899748,0,0.9887218045112782,0.2506265664160401,0.556390977443609,0.06889352818371608,-0.1729667812142039
Bare Sediment,530,732,916,1050,1036,1027,1072,489,307,1081,447,691,0.28811369509043927,0.5490956072351422,0.7868217054263565,0.9599483204134368,0.9418604651162792,0.9302325581395348,0.9883720930232558,0.2351421188630491,0,1,0.18087855297157623,0.49612403100775193,0.0681586978636826,-0.17845117845117844
Bare Sediment,530,738,921,1072,1036,1027,1072,489,307,1081,447,691,0.28811369509043927,0.5568475452196382,0.7932816537467701,0.9883720930232558,0.9418604651162792,0.9302325581395348,0.9883720930232558,0.2351421188630491,0,1,0.18087855297157623,0.49612403100775193,0.07576517812343202,-0.18453038674033148
Bare Sediment,512,738,927,1060,1037,999,1063,478,287,1070,453,618,0.28735632183908044,0.5759897828863346,0.8173690932311622,0.9872286079182632,0.9578544061302682,0.909323116219668,0.9910600255427842,0.24393358876117496,0,1,0.2120051085568327,0.4227330779054917,0.0669350780070458,-0.17908787541713014
Bare Sediment,526,728,903,1032,1037,999,1063,478,287,1070,453,618,0.3052362707535121,0.5632183908045977,0.7867177522349936,0.9514687100893996,0.9578544061302682,0.909323116219668,0.9910600255427842,0.24393358876117496,0,1,0.2120051085568327,0.4227330779054917,0.06666666666666667,-0.17272727272727273
Bare Sediment,542,740,916,1008,1047,1011,1063,427,267,1043,453,618,0.3454773869346734,0.5942211055276382,0.8153266331658291,0.9309045226130652,0.9798994974874372,0.9346733668341708,1,0.20100502512562815,0,0.9748743718592964,0.23366834170854273,0.44095477386934673,0.04781704781704782,-0.15331807780320367
Bare Sediment,544,750,930,1019,1047,1011,1063,427,267,1043,453,618,0.3479899497487437,0.6067839195979899,0.8329145728643216,0.9447236180904522,0.9798994974874372,0.9346733668341708,1,0.20100502512562815,0,0.9748743718592964,0.23366834170854273,0.44095477386934673,0.04566444330425859,-0.1520633126059921
Bare Sediment,530,762,922,996,1045,1006,1044,407,282,1046,453,618,0.32460732984293195,0.6282722513089005,0.837696335078534,0.9345549738219896,0.9986910994764396,0.9476439790575916,0.9973821989528796,0.16361256544502617,0,1,0.2238219895287958,0.4397905759162304,0.03858185610010428,-0.13310580204778158
Bare Sediment,542,740,944,1036,1045,1006,1044,407,282,1046,453,618,0.3403141361256545,0.599476439790576,0.8664921465968587,0.986910994764398,0.9986910994764396,0.9476439790575916,0.9973821989528796,0.16361256544502617,0,1,0.2238219895287958,0.4397905759162304,0.04646464646464646,-0.16666666666666666
Bare Sediment,533,748,922,1015,1022,987,1033,368,242,1015,461,595,0.36788874841972186,0.6396965865992414,0.8596713021491783,0.97724399494311,0.986093552465234,0.9418457648546144,1,0.1592920353982301,0,0.97724399494311,0.27686472819216185,0.4462705436156763,0.04801239029426948,-0.1514463981849121
Bare Sediment,509,723,910,1001,1022,987,1033,368,242,1015,461,595,0.33754740834386854,0.6080910240202275,0.8445006321112516,0.9595448798988622,0.986093552465234,0.9418457648546144,1,0.1592920353982301,0,0.97724399494311,0.27686472819216185,0.4462705436156763,0.04761904761904761,-0.16125290023201855
Bare Sediment,512,738,908,966,1022,989,1031,331,209,1006,461,595,0.3686131386861314,0.6435523114355232,0.8503649635036497,0.9209245742092458,0.9890510948905108,0.948905109489051,1,0.14841849148418493,0,0.9695863746958636,0.30656934306569344,0.4695863746958638,0.03094983991462113,-0.13380281690140844
